Fecha,Hora de salida,Lugar de Origen,Lugar de Destino,ID,Coord Origen,Coord Destino,Origen Lat,Origen Lon,Destino Lat,Destino Lon
2024-06-01,05:11:00,Parque del Niño Puno,Hospital Regional Manuel Núñez Butrón,1,"(-15.858797, -70.012071)","(-15.841852, -70.021574)",-15.858797,-70.012071,-15.841852,-70.021574
2024-06-01,06:09:00,Polideportivo Chanu Chanu Puno,Plaza Mayor de Puno,2,"(-15.856024, -70.011223)","(-15.8405942, -70.0279834)",-15.856024,-70.011223,-15.8405942,-70.0279834
2024-06-01,06:11:00,Cementerio Yanamayo Puno,Municipalidad Provincial de Puno,3,"(-15.8096272, -70.0300562)","(-15.840283, -70.028314)",-15.8096272,-70.0300562,-15.840283,-70.028314
2024-06-01,07:04:00,Jr. Los Incas Puno,Jr. Lima Puno,4,"(-15.836837, -70.024882)","(-15.838756, -70.02816)",-15.836837,-70.024882,-15.838756,-70.02816
2024-06-01,07:16:00,Hotel Libertador Lago Titicaca Puno,Urbanización Huajsapata Puno,5,"(-15.827961, -69.993105)","(-15.842445, -70.032551)",-15.827961,-69.993105,-15.842445,-70.032551
2024-06-01,07:20:00,Hotel Sonesta Posadas del Inca Puno,Cementerio Laykakota Puno,6,"(-15.8241171, -70.0050901)","(-15.8492522, -70.0210575)",-15.8241171,-70.0050901,-15.8492522,-70.0210575
2024-06-01,07:31:00,Senati Puno,Parque del Niño Puno,7,"(-15.8699536, -69.9988485)","(-15.858797, -70.012071)",-15.8699536,-69.9988485,-15.858797,-70.012071
2024-06-01,08:16:00,Avenida El Sol Puno,Salcedo Puno,8,"(-15.8458219, -70.0202123)","(-15.8687992, -69.9986595)",-15.8458219,-70.0202123,-15.8687992,-69.9986595
2024-06-01,08:23:00,Parque Pino Puno,Instituto Americano de Arte Puno,9,"(-15.8378073, -70.0280672)","(-15.836384, -70.027622)",-15.8378073,-70.0280672,-15.836384,-70.027622
2024-06-01,11:36:00,Institución Educativa San Juan Bautista Puno,Gran Unidad Escolar San Carlos Puno,10,"(-15.840051, -70.0298054)","(-15.840115, -70.025425)",-15.840051,-70.0298054,-15.840115,-70.025425
2024-06-01,12:03:00,Mercado Unión y Dignidad Puno,Mercado Laykakota Puno,11,"(-15.840089, -70.0193667)","(-15.8465279, -70.0207765)",-15.840089,-70.0193667,-15.8465279,-70.0207765
2024-06-01,12:32:00,Colegio Don Bosco Puno,Hotel Sonesta Posadas del Inca Puno,12,"(-15.883085, -70.001176)","(-15.8241171, -70.0050901)",-15.883085,-70.001176,-15.8241171,-70.0050901
2024-06-01,12:44:00,Colegio Adventista Puno,Parque del Periodista Puno,13,"(-15.8366071, -70.0291852)","(-15.839012, -70.023311)",-15.8366071,-70.0291852,-15.839012,-70.023311
