Fecha,Hora de salida,Lugar de Origen,Lugar de Destino,ID
2024-06-01,05:11:00,Parque del Niño Puno,Hospital Regional Manuel Núñez Butrón,1
2024-06-01,06:09:00,Polideportivo Chanu Chanu Puno,Plaza Mayor de Puno,2
2024-06-01,06:11:00,Cementerio Yanamayo Puno,Municipalidad Provincial de Puno,3
2024-06-01,07:04:00,Jr. Los Incas Puno,Jr. Lima Puno,4
2024-06-01,07:16:00,Hotel Libertador Lago Titicaca Puno,Urbanización Huajsapata Puno,5
2024-06-01,07:20:00,Hotel Sonesta Posadas del Inca Puno,Cementerio Laykakota Puno,6
2024-06-01,07:31:00,Senati Puno,Parque del Niño Puno,7
2024-06-01,08:16:00,Avenida El Sol Puno,Salcedo Puno,8
2024-06-01,08:23:00,Parque Pino Puno,Instituto Americano de Arte Puno,9
2024-06-01,11:36:00,Institución Educativa San Juan Bautista Puno,Gran Unidad Escolar San Carlos Puno,10
2024-06-01,12:03:00,Mercado Unión y Dignidad Puno,Mercado Laykakota Puno,11
2024-06-01,12:32:00,Colegio Don Bosco Puno,Hotel Sonesta Posadas del Inca Puno,12
2024-06-01,12:44:00,Colegio Adventista Puno,Parque del Periodista Puno,13
2024-06-01,12:52:00,Mirador Kuntur Wasi Puno,Parque San Román Puno,14
2024-06-01,12:58:00,Estadio Enrique Torres Belón,Instituto de Educación Superior Tecnológico Público Puno,15
2024-06-01,13:23:00,Salcedo Puno,Colegio Adventista Puno,16
2024-06-01,13:44:00,Instituto Americano de Arte Puno,Avenida Floral Puno,17
2024-06-01,14:16:00,Hostal Mirador Korichasca Puno,Terminal Zonal Sur Puno,18
2024-06-01,15:00:00,Hotel Libertador Lago Titicaca Puno,Urbanización Bellavista Puno,19
2024-06-01,15:41:00,Hostal Mirador Korichasca Puno,Urbanización Alto Puno,20
2024-06-01,16:15:00,Hotel Sonesta Posadas del Inca Puno,Universidad Andina Néstor Cáceres Velásquez Puno,21
2024-06-01,16:30:00,Parque Mariátegui Puno,Urbanización Alto Puno,22
2024-06-01,17:13:00,Universidad Andina Néstor Cáceres Velásquez Puno,Cementerio Laykakota Puno,23
2024-06-01,17:32:00,Terminal Zonal Sur Puno,Plaza Vea Puno,24
2024-06-01,17:42:00,Urbanización Alto Puno,Mirador Puma Uta Puno,25
2024-06-01,18:45:00,Terminal Zonal Sur Puno,Universidad Andina Néstor Cáceres Velásquez Puno,26
2024-06-01,19:19:00,Hospital III EsSalud Puno,Mirador Kuntur Wasi Puno,27
2024-06-01,19:27:00,Av. Costanera Puno,Ministerio de Cultura Puno,28
2024-06-01,20:13:00,Municipalidad Provincial de Puno,Instituto Americano de Arte Puno,29
2024-06-01,20:24:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno,30
2024-06-01,20:59:00,Instituto Americano de Arte Puno,Mirador Puma Uta Puno,31
2024-06-01,21:13:00,Urbanización Huajsapata Puno,Parque San Román Puno,32
2024-06-01,21:26:00,Universidad Nacional del Altiplano,Urbanización Salcedo Puno,33
2024-06-01,22:42:00,Colegio María Auxiliadora Puno,Instituto Americano de Arte Puno,34
2024-06-02,05:25:00,Plaza Mayor de Puno,Mirador Kuntur Wasi Puno,35
2024-06-02,05:43:00,Mirador Kuntur Wasi Puno,Cementerio Yanamayo Puno,36
2024-06-02,05:47:00,Puerto Lacustre Puno,Hotel Sonesta Posadas del Inca Puno,37
2024-06-02,06:34:00,Complejo Deportivo Alto Llavini Puno,Instituto de Educación Superior Tecnológico Público Puno,38
2024-06-02,07:55:00,Colegio Glorioso San Carlos Puno,Jayllihuaya Puno,39
2024-06-02,09:04:00,Estadio Enrique Torres Belón,Hotel Libertador Lago Titicaca Puno,40
2024-06-02,09:15:00,Universidad Nacional del Altiplano,Hotel Libertador Lago Titicaca Puno,41
2024-06-02,10:06:00,Jr. Lima Puno,Parque del Niño Puno,42
2024-06-02,10:45:00,Av. Costanera Puno,Plaza Mayor de Puno,43
2024-06-02,12:11:00,Parque Mariátegui Puno,Hotel Libertador Lago Titicaca Puno,44
2024-06-02,14:32:00,Hospital Regional Manuel Núñez Butrón,Terminal Zonal Sur Puno,45
2024-06-02,15:18:00,Terminal Terrestre Puno,Gran Unidad Escolar San Carlos Puno,46
2024-06-02,17:02:00,Parque del Niño Puno,Avenida Floral Puno,47
2024-06-02,17:04:00,Gran Unidad Escolar San Carlos Puno,Parque Pino Puno,48
2024-06-02,17:43:00,Urbanización Bellavista Puno,Plaza Vea Puno,49
2024-06-02,17:45:00,Centro de Salud Metropolitano Puno,Urbanización Bellavista Puno,50
2024-06-02,18:33:00,Plaza Vea Puno,Gran Unidad Escolar San Carlos Puno,51
2024-06-02,18:43:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno,52
2024-06-02,18:44:00,Terminal Zonal Sur Puno,Colegio Adventista Puno,53
2024-06-02,19:18:00,Mercado Laykakota Puno,Av. Costanera Puno,54
2024-06-02,19:36:00,Urbanización Chanu Chanu Puno,Parque del Periodista Puno,55
2024-06-02,19:42:00,Gobierno Regional de Puno,Mercado Bellavista Puno,56
2024-06-02,19:47:00,Hospital III EsSalud Puno,Avenida La Torre Puno,57
2024-06-02,19:51:00,Institución Educativa San Juan Bautista Puno,Av. Costanera Puno,58
2024-06-02,21:34:00,Jr. Tarapacá Puno,Terminal Zonal Sur Puno,59
2024-06-02,21:57:00,Hotel Libertador Lago Titicaca Puno,Jayllihuaya Puno,60
2024-06-02,22:55:00,Estadio Enrique Torres Belón,Avenida La Torre Puno,61
2024-06-03,05:00:00,Hospital III EsSalud Puno,Estadio Enrique Torres Belón,62
2024-06-03,05:10:00,Gobierno Regional de Puno,Puerto Lacustre Puno,63
2024-06-03,05:12:00,Centro de Salud Metropolitano Puno,Terminal Zonal Sur Puno,64
2024-06-03,06:44:00,Parque San Román Puno,Jr. Los Incas Puno,65
2024-06-03,07:36:00,Senati Puno,Terminal Zonal Sur Puno,66
2024-06-03,07:50:00,Avenida El Sol Puno,Hotel Sonesta Posadas del Inca Puno,67
2024-06-03,07:51:00,Senati Puno,Parque del Niño Puno,68
2024-06-03,08:35:00,Parque Pino Puno,Hotel Libertador Lago Titicaca Puno,69
2024-06-03,13:30:00,Universidad Nacional del Altiplano,Polideportivo Chanu Chanu Puno,70
2024-06-03,13:33:00,Parque del Periodista Puno,Urbanización Salcedo Puno,71
2024-06-03,13:42:00,Jr. Los Incas Puno,Institución Educativa San Juan Bautista Puno,72
2024-06-03,13:44:00,Avenida La Torre Puno,Mirador Puma Uta Puno,73
2024-06-03,14:09:00,Colegio Glorioso San Carlos Puno,Parque Pino Puno,74
2024-06-03,16:37:00,Jayllihuaya Puno,Municipalidad Provincial de Puno,75
2024-06-03,17:37:00,Colegio Adventista Puno,Urbanización Huajsapata Puno,76
2024-06-03,18:19:00,Polideportivo Chanu Chanu Puno,Terminal Zonal Sur Puno,77
2024-06-03,18:20:00,Urbanización Chanu Chanu Puno,Senati Puno,78
2024-06-03,18:36:00,Plaza Mayor de Puno,Parque del Periodista Puno,79
2024-06-03,18:54:00,Mercado Unión y Dignidad Puno,Terminal Terrestre Puno,80
2024-06-03,19:00:00,Hotel Sonesta Posadas del Inca Puno,Municipalidad Provincial de Puno,81
2024-06-03,19:30:00,Urbanización Bellavista Puno,Universidad Nacional del Altiplano,82
2024-06-03,19:50:00,Centro de Salud Metropolitano Puno,Puerto Lacustre Puno,83
2024-06-03,20:19:00,Plaza Mayor de Puno,Senati Puno,84
2024-06-03,22:06:00,Av. Costanera Puno,Avenida Floral Puno,85
2024-06-04,05:22:00,Polideportivo Chanu Chanu Puno,Senati Puno,86
2024-06-04,06:13:00,Urbanización Huajsapata Puno,Parque del Niño Puno,87
2024-06-04,06:42:00,Cementerio Laykakota Puno,Institución Educativa San Juan Bautista Puno,88
2024-06-04,07:25:00,Mercado Unión y Dignidad Puno,Instituto Americano de Arte Puno,89
2024-06-04,07:36:00,Gobierno Regional de Puno,Puerto Lacustre Puno,90
