Fecha,Hora de salida,Lugar de Origen,Lugar de Destino
2024-06-01,05:11:00,Parque del Niño Puno,Hospital Regional Manuel Núñez Butrón
2024-06-01,06:09:00,Polideportivo Chanu Chanu Puno,Plaza Mayor de Puno Puno
2024-06-01,06:11:00,Cementerio Yanamayo Puno,Municipalidad Provincial de Puno
2024-06-01,07:04:00,Los Incas Puno,Jirón Lima Puno
2024-06-01,07:16:00,Hotel Libertador Lago Titicaca Puno,Urbanización Huajsapata Puno
2024-06-01,07:20:00,Hotel Sonesta Posadas del Inca Puno,Cementerio Laykakota Puno
2024-06-01,07:31:00,Senati Puno,Parque del Niño Puno
2024-06-01,08:16:00,Avenida El Sol Puno,Salcedo Puno
2024-06-01,08:23:00,Parque Pino Puno,Instituto Americano Los Andes Puno
2024-06-01,11:36:00,Iglesia San Juan Bautista Puno,Gran Unidad Escolar San Carlos Puno
2024-06-01,12:03:00,Mercado Unión y Dignidad Puno,Mercado Laykakota Puno
2024-06-01,12:32:00,Colegio Don Bosco Puno,Hotel Sonesta Posadas del Inca Puno
2024-06-01,12:44:00,Colegio Adventista Puno,Plazuela 15 de Agosto Puno
2024-06-01,12:52:00,Mirador Kuntur Wasi Puno,Plazuela Santa Rosa Puno
2024-06-01,12:58:00,Estadio Enrique Torres Belón,Instituto de Educación Superior Tecnológico Público Puno
2024-06-01,13:23:00,Salcedo Puno,Colegio Adventista Puno
2024-06-01,13:44:00,Instituto Americano Los Andes Puno,Avenida Floral Puno
2024-06-01,14:16:00,Hostal Mirador Korichasca Puno,Terminal Zonal Sur Puno
2024-06-01,14:31:00,Universidad Andina Néstor Cáceres Velásquez Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-01,15:00:00,Hotel Libertador Lago Titicaca Puno,Urbanización Bellavista Puno
2024-06-01,15:41:00,Hostal Mirador Korichasca Puno,Urbanización Alto Puno
2024-06-01,16:15:00,Hotel Sonesta Posadas del Inca Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-01,16:30:00,Parque Mariátegui Puno,Urbanización Alto Puno
2024-06-01,17:13:00,Universidad Andina Néstor Cáceres Velásquez Puno,Cementerio Laykakota Puno
2024-06-01,17:32:00,Terminal Zonal Sur Puno,Real Plaza Puno
2024-06-01,17:42:00,Urbanización Alto Puno,Mirador Puma Uta Puno
2024-06-01,18:45:00,Terminal Zonal Sur Puno,Universidad Andina Néstor Cáceres Velásquez Puno
2024-06-01,19:19:00,Hospital ESSALUD Puno,Mirador Kuntur Wasi Puno
2024-06-01,19:27:00,Av. Costanera Puno,Instituto de Cultura y Turismo de Puno
2024-06-01,20:13:00,Municipalidad Provincial de Puno,Instituto Americano Los Andes Puno
2024-06-01,20:24:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno
2024-06-01,20:59:00,Instituto Americano Los Andes Puno,Mirador Puma Uta Puno
2024-06-01,21:13:00,Urbanización Huajsapata Puno,Plazuela Santa Rosa Puno
2024-06-01,21:26:00,Universidad Nacional del Altiplano,Urbanización Salcedo Puno
2024-06-01,22:42:00,Colegio María Auxiliadora Puno,Instituto Americano Los Andes Puno
2024-06-02,05:25:00,Plaza Mayor de Puno Puno,Mirador Kuntur Wasi Puno
2024-06-02,05:43:00,Mirador Kuntur Wasi Puno,Cementerio Yanamayo Puno
2024-06-02,05:47:00,Puerto Lacustre Puno,Hotel Sonesta Posadas del Inca Puno
2024-06-02,06:34:00,Complejo Deportivo Alto Llavini Puno,Instituto de Educación Superior Tecnológico Público Puno
2024-06-02,07:55:00,Colegio Glorioso San Carlos Puno,Jayllihuaya Puno
2024-06-02,09:04:00,Estadio Enrique Torres Belón,Hotel Libertador Lago Titicaca Puno
2024-06-02,09:15:00,Universidad Nacional del Altiplano,Isla Esteves Puno
2024-06-02,10:06:00,Jirón Lima Puno,Parque del Niño Puno
2024-06-02,10:45:00,Av. Costanera Puno,Plaza Mayor de Puno Puno
2024-06-02,12:11:00,Parque Mariátegui Puno,Isla Esteves Puno
2024-06-02,14:32:00,Hospital Regional Manuel Núñez Butrón,Terminal Zonal Sur Puno
2024-06-02,15:18:00,Terminal Terrestre Puno,Gran Unidad Escolar San Carlos Puno
2024-06-02,17:02:00,Parque del Niño Puno,Avenida Floral Puno
2024-06-02,17:04:00,Gran Unidad Escolar San Carlos Puno,Parque Pino Puno
2024-06-02,17:43:00,Urbanización Bellavista Puno,Real Plaza Puno
2024-06-02,17:45:00,Centro de Salud Metropolitano Puno,Urbanización Bellavista Puno
2024-06-02,18:33:00,Real Plaza Puno,Gran Unidad Escolar San Carlos Puno
2024-06-02,18:43:00,Puerto Lacustre Puno,Urbanización Huajsapata Puno
2024-06-02,18:44:00,Terminal Zonal Sur Puno,Colegio Adventista Puno
2024-06-02,19:18:00,Mercado Laykakota Puno,Av. Costanera Puno
2024-06-02,19:36:00,Urbanización Chanu Chanu Puno,Plazuela 15 de Agosto Puno
2024-06-02,19:42:00,Gobierno Regional de Puno,Mercado Central Bellavista Puno
2024-06-02,19:47:00,Hospital ESSALUD Puno,Avenida La Torre Puno
2024-06-02,19:51:00,Iglesia San Juan Bautista Puno,Av. Costanera Puno
2024-06-02,21:34:00,Catedral Basílica de Puno,Terminal Zonal Sur Puno
2024-06-02,21:57:00,Hotel Libertador Lago Titicaca Puno,Jayllihuaya Puno
2024-06-02,22:55:00,Estadio Enrique Torres Belón,Avenida La Torre Puno
2024-06-03,05:00:00,Hospital ESSALUD Puno,Estadio Enrique Torres Belón
2024-06-03,05:10:00,Gobierno Regional de Puno,Puerto Lacustre Puno
2024-06-03,05:12:00,Centro de Salud Metropolitano Puno,Terminal Zonal Sur Puno
2024-06-03,06:44:00,Plazuela Santa Rosa Puno,Los Incas Puno
2024-06-03,07:36:00,Senati Puno,Terminal Zonal Sur Puno
2024-06-03,07:50:00,Avenida El Sol Puno,Hotel Sonesta Posadas del Inca Puno
2024-06-03,07:51:00,Senati Puno,Parque del Niño Puno
2024-06-03,08:35:00,Parque Pino Puno,Hotel Libertador Lago Titicaca Puno
2024-06-03,13:30:00,Universidad Nacional del Altiplano,Polideportivo Chanu Chanu Puno
2024-06-03,13:33:00,Plazuela 15 de Agosto Puno,Urbanización Salcedo Puno
2024-06-03,13:42:00,Los Incas Puno,Iglesia San Juan Bautista Puno
