ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida
1,Parque del Niño Puno,"-15.858797,-70.012071",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-18,22:26:00
2,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-07,10:20:00
3,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-08,15:22:00
4,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-26,07:40:00
5,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-09,08:32:00
6,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-03,20:10:00
7,Jr. Los Incas Puno,"-15.836837,-70.024882",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-17,13:29:00
8,Jr. Lima Puno,"-15.838756,-70.02816",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-09,14:06:00
9,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-23,11:59:00
10,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-06-22,22:27:00
11,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-10-17,03:03:00
12,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-02,07:32:00
13,Senati Puno,"-15.8699536,-69.9988485",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-25,03:28:00
14,Avenida El Sol Puno,"-15.8458219,-70.0202123",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-16,00:00:00
15,Salcedo Puno,"-15.8687992,-69.9986595",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-18,05:52:00
16,Parque Pino Puno,"-15.8378073,-70.0280672",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-17,20:56:00
17,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-10,23:52:00
18,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-20,15:58:00
19,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Parque del Niño Puno,"-15.858797,-70.012071",2024-10-03,15:16:00
20,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-20,20:05:00
21,Mercado Laykakota Puno,"-15.8465279,-70.0207765",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-07-07,16:55:00
22,Colegio Don Bosco Puno,"-15.883085,-70.001176",Parque del Periodista Puno,"-15.839012,-70.023311",2024-10-07,16:37:00
23,Colegio Adventista Puno,"-15.8366071,-70.0291852",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-09-19,17:47:00
24,Parque del Periodista Puno,"-15.839012,-70.023311",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-09-09,10:14:00
25,Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-10-18,21:15:00
26,Parque San Román Puno,"-15.841093,-70.029431",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-11-12,19:46:00
27,Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-10-31,06:14:00
28,Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",Parque del Niño Puno,"-15.858797,-70.012071",2024-08-31,19:31:00
29,Avenida Floral Puno,"-15.8268687,-70.0141471",Parque Pino Puno,"-15.8378073,-70.0280672",2024-08-26,12:07:00
30,Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-09-13,02:37:00
31,Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",Urbanización Bellavista Puno,"-15.832755,-70.022242",2024-09-16,13:04:00
32,Urbanización Bellavista Puno,"-15.832755,-70.022242",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-09-07,09:32:00
33,Urbanización Alto Puno,"-15.814292,-70.031918",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-11-23,00:46:00
34,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-13,05:02:00
35,Parque Mariátegui Puno,"-15.8393597,-70.0245754",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-11-26,05:33:00
36,Plaza Vea Puno,"-15.83636,-70.025604",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-30,20:44:00
37,Mirador Puma Uta Puno,"-15.8202693,-70.0287285",Parque del Niño Puno,"-15.858797,-70.012071",2024-06-16,22:32:00
38,Hospital III EsSalud Puno,"-15.8734615,-70.0004113",Avenida Floral Puno,"-15.8268687,-70.0141471",2024-09-21,07:38:00
39,Av. Costanera Puno,"-15.8399095,-70.0176539",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-06-11,17:28:00
40,Ministerio de Cultura Puno,"-15.842631,-70.028915",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-08-15,18:53:00
41,Puerto Lacustre Puno,"-15.835401,-70.014945",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-09-18,23:04:00
42,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-11-21,14:06:00
43,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Instituto Americano de Arte Puno,"-15.836384,-70.027622",2024-08-05,10:33:00
44,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Jayllihuaya Puno,"-15.8787471,-69.9751057",2024-08-23,23:11:00
45,Complejo Deportivo Alto Llavini Puno,"-15.81855,-70.025004",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-06-13,12:47:00
46,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Urbanización Alto Puno,"-15.814292,-70.031918",2024-08-24,00:27:00
47,Jayllihuaya Puno,"-15.8787471,-69.9751057",Cementerio Laykakota Puno,"-15.8492522,-70.0210575",2024-07-02,01:49:00
48,Terminal Terrestre Puno,"-15.843678,-70.017225",Parque del Periodista Puno,"-15.839012,-70.023311",2024-06-28,02:37:00
49,Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-10-04,16:58:00
50,Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-28,02:46:00
51,Gobierno Regional de Puno,"-15.8400211,-70.0276698",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-09-23,10:37:00
52,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Avenida La Torre Puno,"-15.8336052,-70.0276202",2024-06-13,01:44:00
53,Avenida La Torre Puno,"-15.8336052,-70.0276202",Plaza Vea Puno,"-15.83636,-70.025604",2024-07-25,21:24:00
54,Jr. Tarapacá Puno,"-15.83755,-70.029158",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-29,09:07:00
55,Jayllihuaya Puno,"-15.8787471,-69.9751057",Plaza Mayor de Puno,"-15.8405942,-70.0279834",2024-08-29,11:39:00
56,Jr. Lima Puno,"-15.838756,-70.02816",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-06-22,01:33:00
57,Jr. Lima Puno,"-15.838756,-70.02816",Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",2024-06-18,07:05:00
58,Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-09-27,08:37:00
59,Parque del Periodista Puno,"-15.839012,-70.023311",Parque Pino Puno,"-15.8378073,-70.0280672",2024-09-18,10:59:00
60,Avenida Floral Puno,"-15.8268687,-70.0141471",Senati Puno,"-15.8699536,-69.9988485",2024-06-26,23:45:00
61,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Instituto de Educación Superior Tecnológico Público Puno,"-15.882774,-69.999663",2024-07-05,06:41:00
62,Parque San Román Puno,"-15.841093,-70.029431",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-08-06,06:23:00
63,Mercado Bellavista Puno,"-15.8335335,-70.0233376",Senati Puno,"-15.8699536,-69.9988485",2024-09-23,08:09:00
64,Parque del Periodista Puno,"-15.839012,-70.023311",Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",2024-06-21,16:00:00
65,Puerto Lacustre Puno,"-15.835401,-70.014945",Jr. Tarapacá Puno,"-15.83755,-70.029158",2024-10-25,11:25:00
66,Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",Puerto Lacustre Puno,"-15.835401,-70.014945",2024-06-29,06:18:00
67,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-07-02,18:21:00
68,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Ministerio de Cultura Puno,"-15.842631,-70.028915",2024-11-29,01:59:00
69,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-03,04:01:00
70,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Colegio Adventista Puno,"-15.8366071,-70.0291852",2024-07-31,05:55:00
71,Senati Puno,"-15.8699536,-69.9988485",Urbanización Huajsapata Puno,"-15.842445,-70.032551",2024-08-19,11:08:00
72,Avenida El Sol Puno,"-15.8458219,-70.0202123",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-08-12,03:57:00
73,Colegio María Auxiliadora Puno,"-15.8379872,-70.0329811",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-30,19:58:00
74,Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",Avenida El Sol Puno,"-15.8458219,-70.0202123",2024-06-29,11:20:00
75,Avenida La Torre Puno,"-15.8336052,-70.0276202",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-10-20,10:14:00
76,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Universidad Andina Néstor Cáceres Velásquez Puno,"-15.8421779,-70.0236583",2024-06-08,03:21:00
77,Urbanización Salcedo Puno,"-15.8724851,-69.9928585",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-01,20:00:00
