ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min)
1,Parque del Niño Puno,"-15.841,-70.024",Jirón Lima Puno,"-15.8387563,-70.0281599",2024-07-14,07:51:00,0.8,3.24
2,Hospital Regional Manuel Núñez Butrón,"-15.8515,-70.018",Instituto de Cultura y Turismo de Puno,"-15.842,-70.0265",2024-10-05,11:03:00,1.93,6.44
3,Polideportivo Chanu Chanu Puno,"-15.86,-70.014",Colegio Don Bosco Puno,"-15.8282,-70.0481",2024-06-26,12:22:00,6.15,17.49
4,Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",Real Plaza Puno,"-15.8426,-70.0141",2024-06-04,23:57:00,2.08,8.5
5,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Urbanización Alto Puno,"-15.8282,-70.0481",2024-07-06,07:35:00,3.82,10.1
6,Municipalidad Provincial de Puno,"-15.84,-70.025",Parque Pino Puno,"-15.8378073,-70.0280672",2024-10-31,22:45:00,0.8,3.08
7,Los Incas Puno,"-15.84,-70.028",Instituto Americano Los Andes Puno,"-15.8375,-70.0245",2024-08-02,13:18:00,0.8,3.14
8,Jirón Lima Puno,"-15.8387563,-70.0281599",Puerto Muñoz Díaz Puno,"-15.8485,-70.019",2024-11-02,08:34:00,1.94,6.77
9,Hotel Libertador Lago Titicaca Puno,"-15.838,-70.017",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-02,15:23:00,2.79,10.44
10,Urbanización Huajsapata Puno,"-15.856,-70.0235",Parque Mariátegui Puno,"-15.8393597,-70.0245754",2024-08-19,10:42:00,2.52,10.27
11,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Los Incas Puno,"-15.84,-70.028",2024-11-05,01:41:00,3.95,12.41
12,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Terminal Zonal Sur Puno,"-15.8477879,-70.0149008",2024-09-08,21:50:00,0.85,2.93
13,Senati Puno,"-15.8699536,-69.9988485",Urbanización Alto Puno,"-15.8282,-70.0481",2024-09-07,14:13:00,8.28,26.56
14,Avenida El Sol Puno,"-15.8458219,-70.0202123",Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",2024-10-17,07:31:00,3.92,10.57
15,Salcedo Puno,"-15.8687992,-69.9986595",Urbanización Chanu Chanu Puno,"-15.8603257,-70.013686",2024-07-25,12:49:00,2.59,10.0
16,Parque Pino Puno,"-15.8378073,-70.0280672",Isla Esteves Puno,"-15.8275387,-69.9925844",2024-07-22,06:49:00,5.31,17.76
17,Instituto Americano Los Andes Puno,"-15.8375,-70.0245",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-06-21,19:02:00,2.19,7.1
18,Iglesia San Juan Bautista Puno,"-15.841,-70.026",Parque del Niño Puno,"-15.841,-70.024",2024-11-14,22:09:00,0.8,3.35
19,Gran Unidad Escolar San Carlos Puno,"-15.8385,-70.024",Plaza Mayor de Puno Puno,"-15.8405942,-70.0279834",2024-09-10,05:02:00,0.8,2.76
20,Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",Parque del Niño Puno,"-15.841,-70.024",2024-10-22,15:49:00,0.8,3.39
