ID,Lugar de Origen,Coordenadas Origen,Lugar de Destino,Coordenadas Destino,Fecha,Hora de Salida,Distancia (km),Tiempo de Viaje (min),velocidad (kmh)
1,Parque del Niño Puno,"-15.858797,-70.012071",Terminal Terrestre Puno,"-15.843678,-70.017225",2024-06-18,22:26:00,2.67,6.0,26.74
2,Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-10-07,10:20:00,6.22,13.93,26.81
3,Polideportivo Chanu Chanu Puno,"-15.856024,-70.011223",Parque del Periodista Puno,"-15.839012,-70.023311",2024-09-08,15:22:00,3.26,10.0,19.54
4,Plaza Mayor de Puno,"-15.8405942,-70.0279834",Av. Costanera Puno,"-15.8399095,-70.0176539",2024-08-26,07:40:00,1.67,6.0,16.74
5,Cementerio Yanamayo Puno,"-15.8096272,-70.0300562",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-10-09,08:32:00,3.27,10.0,19.61
6,Municipalidad Provincial de Puno,"-15.840283,-70.028314",Colegio Glorioso San Carlos Puno,"-15.8348219,-70.0245958",2024-07-03,20:10:00,1.1,6.0,11.01
7,Jr. Los Incas Puno,"-15.836837,-70.024882",Mercado Unión y Dignidad Puno,"-15.840089,-70.0193667",2024-10-17,13:29:00,1.08,6.0,10.83
8,Jr. Lima Puno,"-15.838756,-70.02816",Parque Pino Puno,"-15.8378073,-70.0280672",2024-11-09,14:06:00,0.15,3.0,2.94
9,Hotel Libertador Lago Titicaca Puno,"-15.827961,-69.993105",Centro de Salud Metropolitano Puno,"-15.8434283,-70.0213117",2024-06-23,11:59:00,5.42,12.0,27.12
10,Urbanización Huajsapata Puno,"-15.842445,-70.032551",Hospital III EsSalud Puno,"-15.8734615,-70.0004113",2024-06-22,22:27:00,6.85,15.43,26.63
11,Hotel Sonesta Posadas del Inca Puno,"-15.8241171,-70.0050901",Mirador Kuntur Wasi Puno,"-15.8471356,-70.0299513",2024-10-17,03:03:00,5.54,12.0,27.71
12,Cementerio Laykakota Puno,"-15.8492522,-70.0210575",Hospital Regional Manuel Núñez Butrón,"-15.841852,-70.021574",2024-06-02,07:32:00,1.3,6.0,13.05
13,Senati Puno,"-15.8699536,-69.9988485",Hostal Mirador Korichasca Puno,"-15.8524836,-70.0261856",2024-11-25,03:28:00,5.33,12.0,26.64
14,Avenida El Sol Puno,"-15.8458219,-70.0202123",Salcedo Puno,"-15.8687992,-69.9986595",2024-08-16,00:00:00,5.07,12.0,25.32
15,Salcedo Puno,"-15.8687992,-69.9986595",Universidad Nacional del Altiplano,"-15.8242768,-70.0161264",2024-07-18,05:52:00,8.13,16.76,29.09
16,Parque Pino Puno,"-15.8378073,-70.0280672",Parque del Niño Puno,"-15.858797,-70.012071",2024-07-17,20:56:00,4.28,10.0,25.67
17,Instituto Americano de Arte Puno,"-15.836384,-70.027622",Estadio Enrique Torres Belón,"-15.8370214,-70.0219969",2024-07-10,23:52:00,0.86,3.0,17.26
18,Institución Educativa San Juan Bautista Puno,"-15.840051,-70.0298054",Jr. Los Incas Puno,"-15.836837,-70.024882",2024-08-20,15:58:00,1.0,6.0,10.02
19,Gran Unidad Escolar San Carlos Puno,"-15.840115,-70.025425",Parque del Niño Puno,"-15.858797,-70.012071",2024-10-03,15:16:00,3.59,10.0,21.52
